"","PN38705PM"
"","Índice de precios Lima Metropolitana (índice Dic.2021 = 100) - Índice de Precios al Consumidor (IPC)"
Ene20,92.1895712817569
Feb20,92.3206390707161
Mar20,92.9170303880033
Abr20,93.0142055130683
May20,93.204097335048
Jun20,92.9560841633195
Jul20,93.3861811793687
Ago20,93.2832332195989
Sep20,93.4104286127018
Oct20,93.4260987274024
Nov20,93.9123624949692
Dic20,93.9581285619732
Ene21,94.6561451002628
Feb21,94.5375735473133
Mar21,95.3311869507106
Abr21,95.2313830125361
May21,95.4852294275117
Jun21,95.9814390796482
Jul21,96.948489573628
Ago21,97.9033694822447
Sep21,98.2953966184284
Oct21,98.8691125131803
Nov21,99.2232454403164
Dic21,100
Ene22,100.037268
Feb22,100.34884
Mar22,101.836672
Abr22,102.816232
May22,103.211072
Jun22,104.439931
Jul22,105.422597
Ago22,106.125283
Sep22,106.679849
Oct22,107.050724
Nov22,107.604861
Dic22,108.459162
Ene23,108.704764
Feb23,109.024924
Mar23,110.391537
Abr23,111.005592
May23,111.358436
Jun23,111.188314
Jul23,111.623134
Ago23,112.042985
Sep23,112.061363
Oct23,111.700024
Nov23,111.517885
Dic23,111.9704
Ene24,111.991911
Feb24,112.616278
Mar24,113.75301
Abr24,113.694232
May24,113.591104
Jun24,113.729392
Jul24,113.998099
Ago24,114.322048
Sep24,114.050464
Oct24,113.944279
Nov24,114.051561
Dic24,114.172077
Ene25,114.065534
Feb25,114.279991
Mar25,115.205841
Abr25,115.572272
May25,115.507003
Jun25,115.655637
Jul25,115.9233
Ago25,115.586828
Sep25,115.599718
